BusPosition{identifier=11625, status=true, positionX=-46.760923500000004, positionY=-23.5021385, timeStamp=Wed Feb 05 11:14:00 BRST 2014}
BusPosition{identifier=11625, status=true, positionX=-46.760923500000004, positionY=-23.5021385, timeStamp=Wed Feb 05 11:15:00 BRST 2014}
BusPosition{identifier=11625, status=true, positionX=-46.760923500000004, positionY=-23.5021385, timeStamp=Wed Feb 05 11:16:00 BRST 2014}
BusPosition{identifier=11625, status=true, positionX=-46.760923500000004, positionY=-23.5021385, timeStamp=Wed Feb 05 11:17:00 BRST 2014}
BusPosition{identifier=11625, status=true, positionX=-46.760923500000004, positionY=-23.5021385, timeStamp=Wed Feb 05 11:18:00 BRST 2014}
BusPosition{identifier=11625, status=true, positionX=-46.760923500000004, positionY=-23.5021385, timeStamp=Wed Feb 05 11:19:00 BRST 2014}
BusPosition{identifier=11625, status=true, positionX=-46.760923500000004, positionY=-23.5021385, timeStamp=Wed Feb 05 11:20:00 BRST 2014}
BusPosition{identifier=11625, status=true, positionX=-46.760923500000004, positionY=-23.5021385, timeStamp=Wed Feb 05 11:27:00 BRST 2014}
BusPosition{identifier=11625, status=true, positionX=-46.760923500000004, positionY=-23.5021385, timeStamp=Wed Feb 05 11:28:00 BRST 2014}
BusPosition{identifier=11625, status=true, positionX=-46.760923500000004, positionY=-23.5021385, timeStamp=Wed Feb 05 11:29:00 BRST 2014}
BusPosition{identifier=11625, status=true, positionX=-46.760923500000004, positionY=-23.5021385, timeStamp=Wed Feb 05 11:30:00 BRST 2014}
BusPosition{identifier=11625, status=true, positionX=-46.760923500000004, positionY=-23.5021385, timeStamp=Wed Feb 05 11:31:00 BRST 2014}
BusPosition{identifier=11625, status=true, positionX=-46.760923500000004, positionY=-23.5021385, timeStamp=Wed Feb 05 11:32:00 BRST 2014}
BusPosition{identifier=11625, status=true, positionX=-46.760923500000004, positionY=-23.5021385, timeStamp=Wed Feb 05 11:33:00 BRST 2014}
BusPosition{identifier=11625, status=true, positionX=-46.760923500000004, positionY=-23.5021385, timeStamp=Wed Feb 05 11:36:00 BRST 2014}
BusPosition{identifier=11625, status=true, positionX=-46.760923500000004, positionY=-23.5021385, timeStamp=Wed Feb 05 11:37:00 BRST 2014}
BusPosition{identifier=11625, status=true, positionX=-46.760923500000004, positionY=-23.5021385, timeStamp=Wed Feb 05 11:38:00 BRST 2014}
