BusPosition{identifier=11628, status=true, positionX=-46.709124, positionY=-23.522573, timeStamp=Wed Feb 05 11:07:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.703082124999995, positionY=-23.520219875000002, timeStamp=Wed Feb 05 11:08:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.702947374999994, positionY=-23.519940625, timeStamp=Wed Feb 05 11:09:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.700865, positionY=-23.519626000000002, timeStamp=Wed Feb 05 11:10:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.700865, positionY=-23.519626000000002, timeStamp=Wed Feb 05 11:11:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.700865, positionY=-23.519626000000002, timeStamp=Wed Feb 05 11:12:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.700865, positionY=-23.519626000000002, timeStamp=Wed Feb 05 11:13:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.7000465, positionY=-23.5197615, timeStamp=Wed Feb 05 11:14:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.7000465, positionY=-23.5197615, timeStamp=Wed Feb 05 11:15:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.760923500000004, positionY=-23.5021385, timeStamp=Wed Feb 05 11:51:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.760923500000004, positionY=-23.5021385, timeStamp=Wed Feb 05 12:23:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.7607155, positionY=-23.5021825, timeStamp=Wed Feb 05 12:24:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.7607155, positionY=-23.5021825, timeStamp=Wed Feb 05 12:25:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.7607155, positionY=-23.5021825, timeStamp=Wed Feb 05 12:26:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.7607155, positionY=-23.5021825, timeStamp=Wed Feb 05 12:27:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.758615500000005, positionY=-23.50576975, timeStamp=Wed Feb 05 12:28:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.758615500000005, positionY=-23.50576975, timeStamp=Wed Feb 05 12:29:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.758615500000005, positionY=-23.50576975, timeStamp=Wed Feb 05 12:30:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.748983375, positionY=-23.507916375, timeStamp=Wed Feb 05 12:32:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.748983375, positionY=-23.507916375, timeStamp=Wed Feb 05 12:33:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.748983375, positionY=-23.507916375, timeStamp=Wed Feb 05 12:34:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.748983375, positionY=-23.507916375, timeStamp=Wed Feb 05 12:35:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.748983375, positionY=-23.507916375, timeStamp=Wed Feb 05 12:36:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.74659456249999, positionY=-23.51426025, timeStamp=Wed Feb 05 12:37:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.74659456249999, positionY=-23.51426025, timeStamp=Wed Feb 05 12:38:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.743474000000006, positionY=-23.512364749999996, timeStamp=Wed Feb 05 12:39:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.743474000000006, positionY=-23.512364749999996, timeStamp=Wed Feb 05 12:40:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.738149, positionY=-23.515080499999996, timeStamp=Wed Feb 05 12:41:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.738149, positionY=-23.515080499999996, timeStamp=Wed Feb 05 12:42:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.738149, positionY=-23.515080499999996, timeStamp=Wed Feb 05 12:43:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.736247500000005, positionY=-23.508764125, timeStamp=Wed Feb 05 12:44:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.72845675, positionY=-23.510786, timeStamp=Wed Feb 05 12:45:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.72845675, positionY=-23.510786, timeStamp=Wed Feb 05 12:46:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.72845675, positionY=-23.510786, timeStamp=Wed Feb 05 12:47:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.72845675, positionY=-23.510786, timeStamp=Wed Feb 05 12:48:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.72845675, positionY=-23.510786, timeStamp=Wed Feb 05 12:49:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.716578999999996, positionY=-23.514919, timeStamp=Wed Feb 05 12:50:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.716578999999996, positionY=-23.514919, timeStamp=Wed Feb 05 12:51:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.716578999999996, positionY=-23.514919, timeStamp=Wed Feb 05 12:52:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.716578999999996, positionY=-23.514919, timeStamp=Wed Feb 05 12:53:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.710246125, positionY=-23.522665500000002, timeStamp=Wed Feb 05 12:54:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.710246125, positionY=-23.522665500000002, timeStamp=Wed Feb 05 12:55:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.710246125, positionY=-23.522665500000002, timeStamp=Wed Feb 05 12:56:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.710246125, positionY=-23.522665500000002, timeStamp=Wed Feb 05 12:57:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.710246125, positionY=-23.522665500000002, timeStamp=Wed Feb 05 12:58:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.70524, positionY=-23.520118875, timeStamp=Wed Feb 05 12:59:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.70524, positionY=-23.520118875, timeStamp=Wed Feb 05 13:00:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.702947374999994, positionY=-23.519940625, timeStamp=Wed Feb 05 13:01:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.702947374999994, positionY=-23.519940625, timeStamp=Wed Feb 05 13:02:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.700865, positionY=-23.519626000000002, timeStamp=Wed Feb 05 13:03:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.700865, positionY=-23.519626000000002, timeStamp=Wed Feb 05 13:04:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.700865, positionY=-23.519626000000002, timeStamp=Wed Feb 05 13:05:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.700865, positionY=-23.519626000000002, timeStamp=Wed Feb 05 13:06:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.70058, positionY=-23.519610999999998, timeStamp=Wed Feb 05 13:07:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.70058, positionY=-23.519610999999998, timeStamp=Wed Feb 05 13:08:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.760262499999996, positionY=-23.502401, timeStamp=Wed Feb 05 13:49:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.758121, positionY=-23.503435, timeStamp=Wed Feb 05 13:50:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.758121, positionY=-23.503435, timeStamp=Wed Feb 05 13:51:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.758993000000004, positionY=-23.5054755, timeStamp=Wed Feb 05 13:52:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.755184, positionY=-23.5080315, timeStamp=Wed Feb 05 13:53:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.752585124999996, positionY=-23.508373624999997, timeStamp=Wed Feb 05 13:54:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.748983375, positionY=-23.507916375, timeStamp=Wed Feb 05 13:55:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.748983375, positionY=-23.507916375, timeStamp=Wed Feb 05 13:56:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.747679500000004, positionY=-23.508390499999997, timeStamp=Wed Feb 05 13:57:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.7477495, positionY=-23.510188499999998, timeStamp=Wed Feb 05 13:58:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.7477495, positionY=-23.510188499999998, timeStamp=Wed Feb 05 13:59:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.7467608125, positionY=-23.51371325, timeStamp=Wed Feb 05 14:00:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.7467608125, positionY=-23.51371325, timeStamp=Wed Feb 05 14:01:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.743474000000006, positionY=-23.512364749999996, timeStamp=Wed Feb 05 14:02:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.743474000000006, positionY=-23.512364749999996, timeStamp=Wed Feb 05 14:03:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.743474000000006, positionY=-23.512364749999996, timeStamp=Wed Feb 05 14:04:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.743474000000006, positionY=-23.512364749999996, timeStamp=Wed Feb 05 14:05:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.742643875, positionY=-23.512782625000003, timeStamp=Wed Feb 05 14:06:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.741804, positionY=-23.513647, timeStamp=Wed Feb 05 14:07:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.741804, positionY=-23.513647, timeStamp=Wed Feb 05 14:08:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.738149, positionY=-23.515080499999996, timeStamp=Wed Feb 05 14:09:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.738149, positionY=-23.515080499999996, timeStamp=Wed Feb 05 14:10:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.736247500000005, positionY=-23.508764125, timeStamp=Wed Feb 05 14:11:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.72845675, positionY=-23.510786, timeStamp=Wed Feb 05 14:12:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.72845675, positionY=-23.510786, timeStamp=Wed Feb 05 14:13:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.72845675, positionY=-23.510786, timeStamp=Wed Feb 05 14:14:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.72845675, positionY=-23.510786, timeStamp=Wed Feb 05 14:15:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.72845675, positionY=-23.510786, timeStamp=Wed Feb 05 14:16:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.716578999999996, positionY=-23.514919, timeStamp=Wed Feb 05 14:17:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.716578999999996, positionY=-23.514919, timeStamp=Wed Feb 05 14:18:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.716578999999996, positionY=-23.514919, timeStamp=Wed Feb 05 14:19:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.716578999999996, positionY=-23.514919, timeStamp=Wed Feb 05 14:20:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.71182225, positionY=-23.519480875, timeStamp=Wed Feb 05 14:21:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.71182225, positionY=-23.519480875, timeStamp=Wed Feb 05 14:22:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.71182225, positionY=-23.519480875, timeStamp=Wed Feb 05 14:23:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.706272999999996, positionY=-23.519671000000002, timeStamp=Wed Feb 05 14:25:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.706272999999996, positionY=-23.519671000000002, timeStamp=Wed Feb 05 14:26:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.706272999999996, positionY=-23.519671000000002, timeStamp=Wed Feb 05 14:27:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.702947374999994, positionY=-23.519940625, timeStamp=Wed Feb 05 14:29:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.700865, positionY=-23.519626000000002, timeStamp=Wed Feb 05 14:30:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.7607155, positionY=-23.5021825, timeStamp=Wed Feb 05 15:18:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.7607155, positionY=-23.5021825, timeStamp=Wed Feb 05 15:19:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.7607155, positionY=-23.5021825, timeStamp=Wed Feb 05 15:20:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.754715000000004, positionY=-23.508440999999998, timeStamp=Wed Feb 05 15:23:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.748983375, positionY=-23.507916375, timeStamp=Wed Feb 05 15:24:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.748983375, positionY=-23.507916375, timeStamp=Wed Feb 05 15:25:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.748983375, positionY=-23.507916375, timeStamp=Wed Feb 05 15:26:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.748983375, positionY=-23.507916375, timeStamp=Wed Feb 05 15:27:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.748983375, positionY=-23.507916375, timeStamp=Wed Feb 05 15:28:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.742900625000004, positionY=-23.512604875, timeStamp=Wed Feb 05 15:29:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.742900625000004, positionY=-23.512604875, timeStamp=Wed Feb 05 15:30:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.738149, positionY=-23.515080499999996, timeStamp=Wed Feb 05 15:31:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.738149, positionY=-23.515080499999996, timeStamp=Wed Feb 05 15:32:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.738149, positionY=-23.515080499999996, timeStamp=Wed Feb 05 15:33:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.7282055, positionY=-23.5110035, timeStamp=Wed Feb 05 15:38:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.7282055, positionY=-23.5110035, timeStamp=Wed Feb 05 15:39:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.7282055, positionY=-23.5110035, timeStamp=Wed Feb 05 15:40:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.7236585625, positionY=-23.514143874999995, timeStamp=Wed Feb 05 15:41:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.7236585625, positionY=-23.514143874999995, timeStamp=Wed Feb 05 15:42:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.714058, positionY=-23.514327, timeStamp=Wed Feb 05 15:44:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.714058, positionY=-23.514327, timeStamp=Wed Feb 05 15:45:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.71182225, positionY=-23.519480875, timeStamp=Wed Feb 05 15:46:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.712129, positionY=-23.520688, timeStamp=Wed Feb 05 15:47:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.712129, positionY=-23.520688, timeStamp=Wed Feb 05 15:48:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.7085905, positionY=-23.520658750000003, timeStamp=Wed Feb 05 15:49:00 BRST 2014}
BusPosition{identifier=11628, status=true, positionX=-46.708062, positionY=-23.519324625, timeStamp=Wed Feb 05 15:50:00 BRST 2014}
