BusPosition{identifier=11626, status=true, positionX=-46.7210605, positionY=-23.5141555, timeStamp=Thu Feb 06 06:10:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.716578999999996, positionY=-23.514919, timeStamp=Thu Feb 06 06:11:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.71313990625, positionY=-23.515299374999998, timeStamp=Thu Feb 06 06:12:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.71313990625, positionY=-23.515299374999998, timeStamp=Thu Feb 06 06:13:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.712129, positionY=-23.520688, timeStamp=Thu Feb 06 06:14:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.708642, positionY=-23.522534999999998, timeStamp=Thu Feb 06 06:15:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.706975125, positionY=-23.519370625, timeStamp=Thu Feb 06 06:16:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.706975125, positionY=-23.519370625, timeStamp=Thu Feb 06 06:17:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.704719999999995, positionY=-23.520342375, timeStamp=Thu Feb 06 06:18:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.702947374999994, positionY=-23.519940625, timeStamp=Thu Feb 06 06:19:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.7000465, positionY=-23.5197615, timeStamp=Thu Feb 06 06:20:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.7000465, positionY=-23.5197615, timeStamp=Thu Feb 06 06:21:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.70058, positionY=-23.519610999999998, timeStamp=Thu Feb 06 06:22:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.70058, positionY=-23.519610999999998, timeStamp=Thu Feb 06 06:23:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.70058, positionY=-23.519610999999998, timeStamp=Thu Feb 06 06:24:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.70058, positionY=-23.519610999999998, timeStamp=Thu Feb 06 06:25:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.700865, positionY=-23.519626000000002, timeStamp=Thu Feb 06 06:26:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.70058, positionY=-23.519610999999998, timeStamp=Thu Feb 06 06:27:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.70058, positionY=-23.519610999999998, timeStamp=Thu Feb 06 06:28:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.70058, positionY=-23.519610999999998, timeStamp=Thu Feb 06 06:29:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.70058, positionY=-23.519610999999998, timeStamp=Thu Feb 06 06:30:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.70058, positionY=-23.519610999999998, timeStamp=Thu Feb 06 06:31:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.7607155, positionY=-23.5021825, timeStamp=Thu Feb 06 07:22:00 BRST 2014}
BusPosition{identifier=11626, status=true, positionX=-46.757851, positionY=-23.503573, timeStamp=Thu Feb 06 07:23:00 BRST 2014}
