BusPosition{identifier=11629, status=true, positionX=-46.743474000000006, positionY=-23.512364749999996, timeStamp=Wed Feb 05 12:53:00 BRST 2014}
BusPosition{identifier=11629, status=true, positionX=-46.743474000000006, positionY=-23.512364749999996, timeStamp=Wed Feb 05 12:54:00 BRST 2014}
BusPosition{identifier=11629, status=true, positionX=-46.738149, positionY=-23.515080499999996, timeStamp=Wed Feb 05 12:55:00 BRST 2014}
BusPosition{identifier=11629, status=true, positionX=-46.738149, positionY=-23.515080499999996, timeStamp=Wed Feb 05 12:56:00 BRST 2014}
BusPosition{identifier=11629, status=true, positionX=-46.738149, positionY=-23.515080499999996, timeStamp=Wed Feb 05 12:57:00 BRST 2014}
BusPosition{identifier=11629, status=true, positionX=-46.738149, positionY=-23.515080499999996, timeStamp=Wed Feb 05 12:58:00 BRST 2014}
BusPosition{identifier=11629, status=true, positionX=-46.72845675, positionY=-23.510786, timeStamp=Wed Feb 05 12:59:00 BRST 2014}
BusPosition{identifier=11629, status=true, positionX=-46.72845675, positionY=-23.510786, timeStamp=Wed Feb 05 13:00:00 BRST 2014}
BusPosition{identifier=11629, status=true, positionX=-46.72845675, positionY=-23.510786, timeStamp=Wed Feb 05 13:01:00 BRST 2014}
BusPosition{identifier=11629, status=true, positionX=-46.716006, positionY=-23.514884000000002, timeStamp=Wed Feb 05 13:03:00 BRST 2014}
BusPosition{identifier=11629, status=true, positionX=-46.716006, positionY=-23.514884000000002, timeStamp=Wed Feb 05 13:04:00 BRST 2014}
BusPosition{identifier=11629, status=true, positionX=-46.716006, positionY=-23.514884000000002, timeStamp=Wed Feb 05 13:05:00 BRST 2014}
BusPosition{identifier=11629, status=true, positionX=-46.716006, positionY=-23.514884000000002, timeStamp=Wed Feb 05 13:06:00 BRST 2014}
BusPosition{identifier=11629, status=true, positionX=-46.709124, positionY=-23.522573, timeStamp=Wed Feb 05 13:07:00 BRST 2014}
BusPosition{identifier=11629, status=true, positionX=-46.709124, positionY=-23.522573, timeStamp=Wed Feb 05 13:08:00 BRST 2014}
BusPosition{identifier=11629, status=true, positionX=-46.709124, positionY=-23.522573, timeStamp=Wed Feb 05 13:09:00 BRST 2014}
