BusPosition{identifier=21508, status=false, positionX=-46.6738925, positionY=-23.5451925, timeStamp=Tue Oct 28 18:24:00 BRST 2014}
BusPosition{identifier=21508, status=false, positionX=-46.6736785, positionY=-23.5474935, timeStamp=Tue Oct 28 18:25:00 BRST 2014}
BusPosition{identifier=21508, status=false, positionX=-46.6737855, positionY=-23.547679000000002, timeStamp=Tue Oct 28 18:26:00 BRST 2014}
BusPosition{identifier=21508, status=false, positionX=-46.674914, positionY=-23.549022, timeStamp=Tue Oct 28 18:27:00 BRST 2014}
BusPosition{identifier=21508, status=false, positionX=-46.67563025, positionY=-23.551429749999997, timeStamp=Tue Oct 28 18:28:00 BRST 2014}
BusPosition{identifier=21508, status=false, positionX=-46.67563025, positionY=-23.551429749999997, timeStamp=Tue Oct 28 18:29:00 BRST 2014}
BusPosition{identifier=21508, status=false, positionX=-46.67563025, positionY=-23.551429749999997, timeStamp=Tue Oct 28 18:30:00 BRST 2014}
BusPosition{identifier=21508, status=false, positionX=-46.67563025, positionY=-23.551429749999997, timeStamp=Tue Oct 28 18:31:00 BRST 2014}
BusPosition{identifier=21508, status=false, positionX=-46.67563025, positionY=-23.551429749999997, timeStamp=Tue Oct 28 18:32:00 BRST 2014}
BusPosition{identifier=21508, status=false, positionX=-46.67563025, positionY=-23.551429749999997, timeStamp=Tue Oct 28 18:33:00 BRST 2014}
BusPosition{identifier=21508, status=false, positionX=-46.67563025, positionY=-23.551429749999997, timeStamp=Tue Oct 28 18:34:00 BRST 2014}
BusPosition{identifier=21508, status=false, positionX=-46.67563025, positionY=-23.551429749999997, timeStamp=Tue Oct 28 18:35:00 BRST 2014}
BusPosition{identifier=21508, status=false, positionX=-46.67563025, positionY=-23.551429749999997, timeStamp=Tue Oct 28 18:36:00 BRST 2014}
BusPosition{identifier=21508, status=false, positionX=-46.67563025, positionY=-23.551429749999997, timeStamp=Tue Oct 28 18:37:00 BRST 2014}
BusPosition{identifier=21508, status=false, positionX=-46.67563025, positionY=-23.551429749999997, timeStamp=Tue Oct 28 18:38:00 BRST 2014}
