BusPosition{identifier=11630, status=true, positionX=-46.760923500000004, positionY=-23.5021385, timeStamp=Wed Feb 05 11:26:00 BRST 2014}
BusPosition{identifier=11630, status=true, positionX=-46.760923500000004, positionY=-23.5021385, timeStamp=Wed Feb 05 11:27:00 BRST 2014}
BusPosition{identifier=11630, status=true, positionX=-46.760923500000004, positionY=-23.5021385, timeStamp=Wed Feb 05 11:28:00 BRST 2014}
BusPosition{identifier=11630, status=true, positionX=-46.760923500000004, positionY=-23.5021385, timeStamp=Wed Feb 05 11:29:00 BRST 2014}
BusPosition{identifier=11630, status=true, positionX=-46.760923500000004, positionY=-23.5021385, timeStamp=Wed Feb 05 11:30:00 BRST 2014}
BusPosition{identifier=11630, status=true, positionX=-46.758993000000004, positionY=-23.5054755, timeStamp=Wed Feb 05 11:31:00 BRST 2014}
BusPosition{identifier=11630, status=true, positionX=-46.758993000000004, positionY=-23.5054755, timeStamp=Wed Feb 05 11:32:00 BRST 2014}
BusPosition{identifier=11630, status=true, positionX=-46.758993000000004, positionY=-23.5054755, timeStamp=Wed Feb 05 11:33:00 BRST 2014}
BusPosition{identifier=11630, status=true, positionX=-46.748983375, positionY=-23.507916375, timeStamp=Wed Feb 05 11:34:00 BRST 2014}
BusPosition{identifier=11630, status=true, positionX=-46.748983375, positionY=-23.507916375, timeStamp=Wed Feb 05 11:35:00 BRST 2014}
BusPosition{identifier=11630, status=true, positionX=-46.748983375, positionY=-23.507916375, timeStamp=Wed Feb 05 11:36:00 BRST 2014}
BusPosition{identifier=11630, status=true, positionX=-46.748983375, positionY=-23.507916375, timeStamp=Wed Feb 05 11:37:00 BRST 2014}
BusPosition{identifier=11630, status=true, positionX=-46.745771000000005, positionY=-23.51423875, timeStamp=Wed Feb 05 11:38:00 BRST 2014}
BusPosition{identifier=11630, status=true, positionX=-46.745771000000005, positionY=-23.51423875, timeStamp=Wed Feb 05 11:39:00 BRST 2014}
BusPosition{identifier=11630, status=true, positionX=-46.7431845, positionY=-23.512397, timeStamp=Wed Feb 05 11:40:00 BRST 2014}
BusPosition{identifier=11630, status=true, positionX=-46.7431845, positionY=-23.512397, timeStamp=Wed Feb 05 11:41:00 BRST 2014}
BusPosition{identifier=11630, status=true, positionX=-46.738149, positionY=-23.515080499999996, timeStamp=Wed Feb 05 11:42:00 BRST 2014}
BusPosition{identifier=11630, status=true, positionX=-46.738149, positionY=-23.515080499999996, timeStamp=Wed Feb 05 11:43:00 BRST 2014}
BusPosition{identifier=11630, status=true, positionX=-46.738149, positionY=-23.515080499999996, timeStamp=Wed Feb 05 11:44:00 BRST 2014}
BusPosition{identifier=11630, status=true, positionX=-46.738149, positionY=-23.515080499999996, timeStamp=Wed Feb 05 11:45:00 BRST 2014}
BusPosition{identifier=11630, status=true, positionX=-46.72845675, positionY=-23.510786, timeStamp=Wed Feb 05 11:46:00 BRST 2014}
BusPosition{identifier=11630, status=true, positionX=-46.72845675, positionY=-23.510786, timeStamp=Wed Feb 05 11:47:00 BRST 2014}
BusPosition{identifier=11630, status=true, positionX=-46.72845675, positionY=-23.510786, timeStamp=Wed Feb 05 11:48:00 BRST 2014}
BusPosition{identifier=11630, status=true, positionX=-46.716578999999996, positionY=-23.514919, timeStamp=Wed Feb 05 11:51:00 BRST 2014}
BusPosition{identifier=11630, status=true, positionX=-46.716578999999996, positionY=-23.514919, timeStamp=Wed Feb 05 11:52:00 BRST 2014}
BusPosition{identifier=11630, status=true, positionX=-46.716578999999996, positionY=-23.514919, timeStamp=Wed Feb 05 11:53:00 BRST 2014}
BusPosition{identifier=11630, status=true, positionX=-46.716578999999996, positionY=-23.514919, timeStamp=Wed Feb 05 11:54:00 BRST 2014}
BusPosition{identifier=11630, status=true, positionX=-46.716578999999996, positionY=-23.514919, timeStamp=Wed Feb 05 11:55:00 BRST 2014}
